doctor_id,name,clinic_id,appointment_duration_in_minutes
D000000001,Dr. Daniel Chua,1,15
D000000002,Dr. Rachel Tan,1,15
D000000003,Dr. Kevin Kumar,1,15
D000000004,Dr. Goh Ho,1,15
D000000005,Dr. Jing Low,2,15
D000000006,Dr. Jennifer Lim,2,20
D000000007,Dr. Benjamin Tan,2,15
D000000008,Dr. Lee Nair,2,30
D000000009,Dr. John Yeo,3,15
D000000010,Dr. Wong Goh,3,15
D000000011,Dr. Chen Lee,3,15
D000000012,Dr. Andrew Teo,4,20
D000000013,Dr. Kevin Goh,4,15
D000000014,Dr. Priya Kumar,4,15
D000000015,Dr. Mary Koh,4,15
D000000016,Dr. Ng Ng,5,30
D000000017,Dr. Daniel Chng,5,15
D000000018,Dr. Wong Goh,6,15
D000000019,Dr. Teo Singh,6,15
D000000020,Dr. Ming Soh,6,15
D000000021,Dr. Ming Ho,7,15
D000000022,Dr. Sarah Kumar,7,15
D000000023,Dr. Michelle Hassan,7,15
D000000024,Dr. Daniel Lee,7,15
D000000025,Dr. Tan Low,7,30
D000000026,Dr. Robert Low,8,15
D000000027,Dr. James Chong,8,15
D000000028,Dr. Wei Low,8,15
D000000029,Dr. Amanda Chng,8,15
D000000030,Dr. Ng Nair,8,15
D000000031,Dr. Nicole Low,9,20
D000000032,Dr. Michelle Tay,9,15
D000000033,Dr. James Goh,9,20
D000000034,Dr. Yan Lee,9,20
D000000035,Dr. Wei Singh,10,30
D000000036,Dr. Li Chua,10,15
D000000037,Dr. Priya Hassan,10,15
D000000038,Dr. Mary Ang,10,15
D000000039,Dr. Amanda Kumar,10,15
D000000040,Dr. Lee Ho,11,15
D000000041,Dr. Jennifer Wong,11,15
D000000042,Dr. David Chen,11,15
D000000043,Dr. Daniel Nair,12,15
D000000044,Dr. Jessica Lim,12,20
D000000045,Dr. Amanda Yeo,12,15
D000000046,Dr. Michael Sim,12,15
D000000047,Dr. Sarah Ho,13,15
D000000048,Dr. James Singh,13,15
D000000049,Dr. David Chong,13,15
D000000050,Dr. Daniel Chua,14,30
D000000051,Dr. John Tay,14,15
D000000052,Dr. Ng Chng,15,15
D000000053,Dr. Jun Wong,15,15
D000000054,Dr. Kevin Low,16,15
D000000055,Dr. Kumar Chong,16,15
D000000056,Dr. Nicole Ho,16,15
D000000057,Dr. Kumar Ho,16,20
D000000058,Dr. Tan Rahman,17,15
D000000059,Dr. Ming Chua,17,15
D000000060,Dr. Daniel Nair,17,20
D000000061,Dr. Teo Yap,17,30
D000000062,Dr. Wei Lee,17,30
D000000063,Dr. Mary Tay,18,15
D000000064,Dr. Kevin Soh,18,15
D000000065,Dr. Chen Goh,18,20
D000000066,Dr. Jennifer Wong,19,20
D000000067,Dr. Hui Chen,19,15
D000000068,Dr. Michelle Hassan,19,15
D000000069,Dr. Ng Tan,20,30
D000000070,Dr. Jun Lee,20,15
D000000071,Dr. Grace Lee,20,15
D000000072,Dr. Wei Tay,20,15
D000000073,Dr. Steven Ong,21,15
D000000074,Dr. Rachel Ng,21,15
D000000075,Dr. Sarah Ang,21,15
D000000076,Dr. Hui Soh,21,15
D000000077,Dr. Jun Lim,22,15
D000000078,Dr. Yan Koh,22,30
D000000079,Dr. Jennifer Wong,22,20
D000000080,Dr. Jing Krishnan,22,20
D000000081,Dr. Lee Yap,22,15
D000000082,Dr. Michael Hassan,23,20
D000000083,Dr. Jing Ong,23,30
D000000084,Dr. Rachel Chen,23,20
D000000085,Dr. Kumar Yeo,23,15
D000000086,Dr. Jennifer Kumar,24,15
D000000087,Dr. Kumar Yeo,24,20
D000000088,Dr. Hui Soh,25,15
D000000089,Dr. Michelle Lee,25,15
D000000090,Dr. Rachel Chong,25,30
D000000091,Dr. Hui Chua,25,20
D000000092,Dr. Tan Goh,25,15
D000000093,Dr. Priya Ali,26,15
D000000094,Dr. Wong Lee,26,30
D000000095,Dr. Teo Yap,26,15
D000000096,Dr. Marcus Ho,26,15
D000000097,Dr. Lee Chng,27,30
D000000098,Dr. Michelle Wong,27,15
D000000099,Dr. Ng Ang,27,15
D000000100,Dr. Priya Ang,28,20
D000000101,Dr. Kumar Wong,28,30
D000000102,Dr. Ming Ho,29,15
D000000103,Dr. Jessica Tay,29,20
D000000104,Dr. Robert Soh,29,15
D000000105,Dr. Wong Hassan,29,15
D000000106,Dr. Daniel Ali,29,20
D000000107,Dr. Ong Ho,30,15
D000000108,Dr. Lee Singh,30,15
D000000109,Dr. Hui Low,30,20
D000000110,Dr. Linda Tan,31,15
D000000111,Dr. James Soh,31,15
D000000112,Dr. Nicole Chong,31,15
D000000113,Dr. Rachel Rahman,31,15
D000000114,Dr. Jessica Krishnan,31,15
D000000115,Dr. Robert Sim,32,15
D000000116,Dr. Ng Sim,32,15
D000000117,Dr. Emily Hassan,33,15
D000000118,Dr. Jessica Chua,33,30
D000000119,Dr. Marcus Chen,33,15
D000000120,Dr. Rui Hassan,34,30
D000000121,Dr. Linda Soh,34,15
D000000122,Dr. Xin Kumar,34,15
D000000123,Dr. Rachel Lee,35,20
D000000124,Dr. Mary Koh,35,15
D000000125,Dr. Steven Hassan,35,15
D000000126,Dr. Linda Yap,36,15
D000000127,Dr. Li Ong,36,15
D000000128,Dr. Ong Chong,36,20
D000000129,Dr. Rui Goh,36,15
D000000130,Dr. Grace Chua,36,15
D000000131,Dr. Michael Chua,37,15
D000000132,Dr. Daniel Low,37,20
D000000133,Dr. Rachel Chong,37,15
D000000134,Dr. Emily Teo,37,15
D000000135,Dr. Hui Krishnan,37,30
D000000136,Dr. Rui Ong,38,15
D000000137,Dr. Priya Sim,38,30
D000000138,Dr. Xin Nair,38,15
D000000139,Dr. Lee Low,39,20
D000000140,Dr. Grace Rahman,39,15
D000000141,Dr. Xin Lee,39,15
D000000142,Dr. Tan Krishnan,39,20
D000000143,Dr. Priya Ho,39,15
D000000144,Dr. Teo Yap,40,15
D000000145,Dr. Ming Lim,40,30
D000000146,Dr. Jing Chong,40,15
D000000147,Dr. Yan Goh,40,15
D000000148,Dr. Lim Low,40,15
D000000149,Dr. Jennifer Koh,41,15
D000000150,Dr. Nicole Goh,41,15
D000000151,Dr. Nicole Chua,41,15
D000000152,Dr. Wei Ali,42,15
D000000153,Dr. Grace Lee,42,15
D000000154,Dr. Tan Kumar,42,15
D000000155,Dr. Jun Wong,42,15
D000000156,Dr. Wei Chong,43,15
D000000157,Dr. Jennifer Lim,43,30
D000000158,Dr. Jun Ang,44,30
D000000159,Dr. Mary Chong,44,15
D000000160,Dr. Teo Singh,44,15
D000000161,Dr. Steven Lee,45,15
D000000162,Dr. Grace Ang,45,20
D000000163,Dr. Jessica Chong,45,30
D000000164,Dr. Kumar Soh,45,15
D000000165,Dr. Ong Goh,45,15
D000000166,Dr. David Wong,46,15
D000000167,Dr. Grace Sim,46,20
D000000168,Dr. Chen Lee,46,30
D000000169,Dr. John Chong,46,20
D000000170,Dr. Amanda Chen,46,15
D000000171,Dr. Goh Ho,47,20
D000000172,Dr. Wong Tay,47,15
D000000173,Dr. Teo Lee,47,15
D000000174,Dr. Goh Low,47,15
D000000175,Dr. Kevin Chua,48,15
D000000176,Dr. Jun Ang,48,15
D000000177,Dr. Marcus Tan,48,15
D000000178,Dr. Kumar Hassan,48,15
D000000179,Dr. Sarah Soh,49,15
D000000180,Dr. Emily Teo,49,15
D000000181,Dr. Michelle Ho,49,15
D000000182,Dr. Kumar Ong,50,15
D000000183,Dr. Goh Teo,50,15
D000000184,Dr. Lim Ang,50,15
D000000185,Dr. Ng Ong,51,15
D000000186,Dr. Mary Lee,51,15
D000000187,Dr. Rajesh Kumar,52,15
D000000188,Dr. Priya Yeo,52,15
D000000189,Dr. Daniel Sim,53,15
D000000190,Dr. Michael Goh,53,15
D000000191,Dr. Priya Ali,53,15
D000000192,Dr. Andrew Singh,54,15
D000000193,Dr. Wei Rahman,54,20
D000000194,Dr. Xin Yeo,54,20
D000000195,Dr. Robert Tan,55,15
D000000196,Dr. Wei Nair,55,15
D000000197,Dr. Jennifer Low,55,15
D000000198,Dr. Jun Ng,56,15
D000000199,Dr. Hui Chua,56,15
D000000200,Dr. Teo Tan,56,15
D000000201,Dr. Mary Chua,56,15
D000000202,Dr. Hui Lim,57,15
D000000203,Dr. Priya Wong,57,15
D000000204,Dr. Steven Tay,57,15
D000000205,Dr. Michelle Hassan,57,15
D000000206,Dr. Goh Kumar,57,30
D000000207,Dr. Nicole Tan,58,15
D000000208,Dr. Marcus Lee,58,20
D000000209,Dr. Chen Yap,58,20
D000000210,Dr. Ong Soh,58,15
D000000211,Dr. David Ong,59,15
D000000212,Dr. Ng Koh,59,15
D000000213,Dr. Ng Tay,59,30
D000000214,Dr. James Sim,60,20
D000000215,Dr. Rachel Lim,60,20
D000000216,Dr. Ming Low,61,20
D000000217,Dr. Rachel Tan,61,15
D000000218,Dr. Emily Yeo,61,15
D000000219,Dr. Jing Lee,62,15
D000000220,Dr. Ng Hassan,62,20
D000000221,Dr. Linda Chua,62,15
D000000222,Dr. Andrew Lee,62,15
D000000223,Dr. Mary Chng,63,15
D000000224,Dr. Marcus Ho,63,15
D000000225,Dr. Marcus Koh,64,15
D000000226,Dr. Emily Rahman,64,15
D000000227,Dr. Robert Tay,64,15
D000000228,Dr. Amanda Chua,64,20
D000000229,Dr. Jennifer Wong,65,20
D000000230,Dr. Michelle Lee,65,15
D000000231,Dr. Lee Goh,65,20
D000000232,Dr. Goh Hassan,65,15
D000000233,Dr. Priya Nair,65,15
D000000234,Dr. Jun Rahman,66,15
D000000235,Dr. Linda Kumar,66,15
D000000236,Dr. Daniel Nair,67,15
D000000237,Dr. Steven Tay,67,15
D000000238,Dr. Kevin Ong,67,15
D000000239,Dr. Jun Ong,68,20
D000000240,Dr. Lim Chong,68,15
D000000241,Dr. Andrew Ong,68,15
D000000242,Dr. Daniel Lee,68,15
D000000243,Dr. David Chong,69,20
D000000244,Dr. Nicole Ong,69,15
D000000245,Dr. Steven Chong,69,15
D000000246,Dr. Lim Koh,70,15
D000000247,Dr. Wong Lee,70,15
D000000248,Dr. Goh Chong,70,15
D000000249,Dr. Robert Wong,70,15
D000000250,Dr. Rui Lee,70,15
D000000251,Dr. David Tan,71,30
D000000252,Dr. Li Singh,71,20
D000000253,Dr. Robert Ang,72,20
D000000254,Dr. Yan Lee,72,15
D000000255,Dr. Linda Chng,72,15
D000000256,Dr. Amanda Chng,72,15
D000000257,Dr. Jing Tay,72,15
D000000258,Dr. David Chong,73,15
D000000259,Dr. Andrew Chong,73,15
D000000260,Dr. Rui Tan,73,15
D000000261,Dr. Lim Hassan,74,15
D000000262,Dr. Tan Chong,74,15
D000000263,Dr. Jennifer Ong,74,30
D000000264,Dr. Mary Chong,74,15
D000000265,Dr. Yan Ong,75,15
D000000266,Dr. Rajesh Kumar,75,15
D000000267,Dr. Linda Chen,75,15
D000000268,Dr. Priya Sim,75,15
D000000269,Dr. Ming Soh,76,20
D000000270,Dr. Priya Chen,76,15
D000000271,Dr. Ng Lim,77,15
D000000272,Dr. Jun Ang,77,15
D000000273,Dr. Emily Nair,77,20
D000000274,Dr. Ming Lim,77,15
D000000275,Dr. Steven Yap,78,15
D000000276,Dr. Jessica Low,78,15
D000000277,Dr. Lim Krishnan,78,20
D000000278,Dr. Teo Teo,78,15
D000000279,Dr. David Teo,78,15
D000000280,Dr. Daniel Soh,79,15
D000000281,Dr. Li Tan,79,15
D000000282,Dr. Rachel Chua,79,15
D000000283,Dr. Li Low,80,20
D000000284,Dr. Jessica Chng,80,15
D000000285,Dr. Lim Chong,80,15
D000000286,Dr. Robert Lim,80,30
D000000287,Dr. Lee Lee,81,15
D000000288,Dr. Jun Lim,81,15
D000000289,Dr. Kevin Chen,82,15
D000000290,Dr. Wei Hassan,82,20
D000000291,Dr. Wong Tay,82,15
D000000292,Dr. Sarah Sim,82,20
D000000293,Dr. Rui Yeo,83,30
D000000294,Dr. David Soh,83,15
D000000295,Dr. Kevin Kumar,83,20
D000000296,Dr. Jing Kumar,84,30
D000000297,Dr. Jun Low,84,15
D000000298,Dr. Emily Ho,85,15
D000000299,Dr. Benjamin Lim,85,30
D000000300,Dr. Hui Tay,85,15
D000000301,Dr. David Hassan,85,15
D000000302,Dr. Tan Sim,85,20
D000000303,Dr. Marcus Tay,86,20
D000000304,Dr. Li Nair,86,15
D000000305,Dr. Grace Ong,87,15
D000000306,Dr. Steven Ng,87,15
D000000307,Dr. Yan Lee,88,15
D000000308,Dr. Jing Goh,88,15
D000000309,Dr. Robert Sim,88,20
D000000310,Dr. Michael Yap,88,15
D000000311,Dr. Tan Low,89,15
D000000312,Dr. David Chua,89,30
D000000313,Dr. Sarah Soh,89,15
D000000314,Dr. Tan Lim,89,15
D000000315,Dr. Jun Ali,90,15
D000000316,Dr. Tan Ali,90,20
D000000317,Dr. Steven Koh,90,15
D000000318,Dr. Robert Krishnan,91,15
D000000319,Dr. Kevin Goh,91,15
D000000320,Dr. Yan Ang,92,15
D000000321,Dr. Rajesh Chua,92,15
D000000322,Dr. Lim Sim,92,15
D000000323,Dr. Yan Ho,92,15
D000000324,Dr. Xin Lee,92,15
D000000325,Dr. Rajesh Sim,93,15
D000000326,Dr. Rajesh Low,93,15
D000000327,Dr. Hui Nair,94,15
D000000328,Dr. Michael Rahman,94,30
D000000329,Dr. Priya Ali,94,15
D000000330,Dr. Kumar Teo,95,15
D000000331,Dr. Lim Soh,95,20
D000000332,Dr. Hui Ho,95,20
D000000333,Dr. Mary Yeo,95,30
D000000334,Dr. Andrew Wong,96,15
D000000335,Dr. Hui Lee,96,15
D000000336,Dr. Jessica Teo,97,15
D000000337,Dr. Yan Singh,97,30
D000000338,Dr. Daniel Goh,97,15
D000000339,Dr. Kevin Ong,97,30
D000000340,Dr. James Singh,98,20
D000000341,Dr. Rajesh Singh,98,20
D000000342,Dr. Daniel Nair,98,15
D000000343,Dr. Amanda Lee,99,15
D000000344,Dr. Linda Kumar,99,15
D000000345,Dr. Linda Teo,99,20
D000000346,Dr. Wong Ho,99,20
D000000347,Dr. Li Ali,100,15
D000000348,Dr. Jennifer Krishnan,100,15
D000000349,Dr. Hui Ang,100,15
D000000350,Dr. David Hassan,100,20
D000000351,Dr. Lee Koh,101,20
D000000352,Dr. Wong Koh,101,15
D000000353,Dr. Jessica Chng,101,15
D000000354,Dr. Jessica Ali,101,30
D000000355,Dr. Jun Ang,101,15
D000000356,Dr. Tan Ali,102,15
D000000357,Dr. Sarah Tan,102,20
D000000358,Dr. Michelle Chng,102,15
D000000359,Dr. Goh Yeo,103,30
D000000360,Dr. Xin Tay,103,15
D000000361,Dr. Daniel Ali,103,20
D000000362,Dr. Teo Lim,103,15
D000000363,Dr. Jun Koh,103,20
D000000364,Dr. Yan Lim,104,30
D000000365,Dr. Chen Chen,104,30
D000000366,Dr. Ong Lim,105,20
D000000367,Dr. Sarah Nair,105,30
D000000368,Dr. David Yap,105,15
D000000369,Dr. Ong Ang,106,15
D000000370,Dr. Sarah Nair,106,15
D000000371,Dr. Kumar Tan,106,20
D000000372,Dr. Andrew Tay,107,20
D000000373,Dr. Chen Nair,107,15
D000000374,Dr. Mary Krishnan,108,30
D000000375,Dr. Michael Wong,108,20
D000000376,Dr. Li Rahman,108,15
D000000377,Dr. Marcus Lee,109,15
D000000378,Dr. Yan Chua,109,15
D000000379,Dr. Nicole Yap,109,15
D000000380,Dr. Ng Chen,109,15
D000000381,Dr. Michelle Ho,109,30
D000000382,Dr. Steven Ali,110,15
D000000383,Dr. Rachel Chng,110,15
D000000384,Dr. Hui Yap,110,15
D000000385,Dr. Nicole Hassan,111,15
D000000386,Dr. Grace Yeo,111,15
D000000387,Dr. Priya Yeo,111,30
D000000388,Dr. Robert Koh,111,15
D000000389,Dr. Priya Wong,111,15
D000000390,Dr. Li Chng,112,15
D000000391,Dr. Teo Wong,112,15
D000000392,Dr. Michelle Ng,113,15
D000000393,Dr. Linda Chen,113,20
D000000394,Dr. Rachel Rahman,113,15
D000000395,Dr. Jennifer Hassan,113,15
D000000396,Dr. Wong Chua,114,15
D000000397,Dr. Emily Tay,114,15
D000000398,Dr. Marcus Nair,114,15
D000000399,Dr. Yan Yap,114,30
D000000400,Dr. David Krishnan,114,20
D000000401,Dr. Michael Ong,115,15
D000000402,Dr. Steven Chng,115,15
D000000403,Dr. Hui Rahman,115,15
D000000404,Dr. Tan Teo,115,15
D000000405,Dr. Tan Koh,116,15
D000000406,Dr. James Chng,116,15
D000000407,Dr. Robert Nair,116,20
D000000408,Dr. Ng Lim,116,15
D000000409,Dr. Jing Krishnan,117,15
D000000410,Dr. Kumar Koh,117,15
D000000411,Dr. David Chua,118,20
D000000412,Dr. Xin Lee,118,15
D000000413,Dr. Rajesh Ang,118,15
D000000414,Dr. Rajesh Chng,118,15
D000000415,Dr. Lim Lim,118,15
D000000416,Dr. Wei Chong,119,15
D000000417,Dr. Amanda Wong,119,15
D000000418,Dr. Wei Lim,120,15
D000000419,Dr. David Teo,120,30
D000000420,Dr. Priya Ong,120,15
D000000421,Dr. Li Yap,121,20
D000000422,Dr. Nicole Chua,121,15
D000000423,Dr. Sarah Tan,121,20
D000000424,Dr. Teo Ho,121,15
D000000425,Dr. Mary Chng,121,15
D000000426,Dr. Jun Yeo,122,15
D000000427,Dr. John Sim,122,15
D000000428,Dr. Priya Tay,123,30
D000000429,Dr. Rui Chng,123,15
D000000430,Dr. Hui Soh,123,20
D000000431,Dr. Jing Chen,123,15
D000000432,Dr. Jing Chua,123,15
D000000433,Dr. Michelle Tay,124,15
D000000434,Dr. Hui Chen,124,30
D000000435,Dr. Daniel Yeo,124,15
D000000436,Dr. Chen Rahman,125,15
D000000437,Dr. John Ng,125,15
D000000438,Dr. Yan Goh,126,15
D000000439,Dr. John Koh,126,30
D000000440,Dr. Sarah Ho,126,20
D000000441,Dr. Tan Lim,126,15
D000000442,Dr. Priya Teo,127,20
D000000443,Dr. Yan Tan,127,15
D000000444,Dr. Nicole Wong,127,15
D000000445,Dr. Kumar Koh,128,15
D000000446,Dr. David Yap,128,20
D000000447,Dr. Robert Ho,129,15
D000000448,Dr. Tan Tan,129,15
D000000449,Dr. Ming Ang,130,20
D000000450,Dr. David Ali,130,20
D000000451,Dr. Hui Low,131,15
D000000452,Dr. Tan Chng,131,20
D000000453,Dr. Ong Chng,131,15
D000000454,Dr. Xin Lee,131,15
D000000455,Dr. Robert Ho,132,15
D000000456,Dr. John Chng,132,15
D000000457,Dr. Teo Chen,133,15
D000000458,Dr. Benjamin Soh,133,15
D000000459,Dr. Marcus Koh,134,15
D000000460,Dr. Yan Ng,134,15
D000000461,Dr. Emily Soh,134,15
D000000462,Dr. Xin Kumar,134,20
D000000463,Dr. Goh Chen,134,15
D000000464,Dr. Andrew Chua,135,15
D000000465,Dr. Jun Yeo,135,15
D000000466,Dr. Hui Chua,135,15
D000000467,Dr. Rui Koh,136,15
D000000468,Dr. Rajesh Yap,136,15
D000000469,Dr. Hui Chng,136,20
D000000470,Dr. Emily Ho,137,20
D000000471,Dr. Rui Low,137,15
D000000472,Dr. Mary Chen,137,15
D000000473,Dr. Jessica Ali,137,20
D000000474,Dr. Hui Soh,137,15
D000000475,Dr. Ng Lim,138,15
D000000476,Dr. Yan Nair,138,15
D000000477,Dr. Wei Lim,139,15
D000000478,Dr. Nicole Ng,139,15
D000000479,Dr. Grace Tan,139,15
D000000480,Dr. Daniel Singh,140,15
D000000481,Dr. Rui Hassan,140,30
D000000482,Dr. Lee Goh,140,15
D000000483,Dr. Priya Tay,140,15
D000000484,Dr. Yan Low,140,30
D000000485,Dr. Wong Koh,141,30
D000000486,Dr. Kevin Krishnan,141,15
D000000487,Dr. Hui Ong,141,15
D000000488,Dr. Jennifer Tay,141,15
D000000489,Dr. Benjamin Kumar,142,30
D000000490,Dr. Ong Chen,142,20
D000000491,Dr. Andrew Ho,142,15
D000000492,Dr. Rui Rahman,142,15
D000000493,Dr. Jing Rahman,142,15
D000000494,Dr. Rajesh Lim,143,20
D000000495,Dr. David Rahman,143,15
D000000496,Dr. Wong Sim,144,15
D000000497,Dr. Rajesh Low,144,20
D000000498,Dr. Goh Chng,144,15
D000000499,Dr. Xin Rahman,144,30
D000000500,Dr. Ng Ong,144,30
D000000501,Dr. Rajesh Tay,145,15
D000000502,Dr. Rui Low,145,15
D000000503,Dr. Jing Low,145,15
D000000504,Dr. Priya Ong,145,15
D000000505,Dr. Tan Koh,145,15
D000000506,Dr. Teo Soh,146,20
D000000507,Dr. Benjamin Ho,146,20
D000000508,Dr. Rachel Kumar,146,15
D000000509,Dr. Emily Singh,147,30
D000000510,Dr. Rajesh Ong,147,15
D000000511,Dr. Rachel Teo,147,30
D000000512,Dr. Hui Tan,147,15
D000000513,Dr. Jessica Ng,148,20
D000000514,Dr. Benjamin Yap,148,15
D000000515,Dr. Priya Yeo,149,15
D000000516,Dr. Xin Goh,149,15
D000000517,Dr. Michelle Chong,150,20
D000000518,Dr. Priya Kumar,150,30
D000000519,Dr. David Teo,151,15
D000000520,Dr. Wei Ali,151,15
D000000521,Dr. Grace Nair,152,30
D000000522,Dr. Priya Ng,152,20
D000000523,Dr. Ming Rahman,152,15
D000000524,Dr. Xin Lee,153,15
D000000525,Dr. Ong Ong,153,15
D000000526,Dr. Ming Chua,154,15
D000000527,Dr. Kevin Ali,154,15
D000000528,Dr. Chen Koh,155,20
D000000529,Dr. Robert Soh,155,15
